Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
REND PAGO APLIC AUT APR,,02/04/2026,"R$0,07 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoMarina Nocera,,05/04/2026,"-R$336,00",,Compras - Inter - 23631657-5
Vendas cartão,,06/04/2026,"R$3.295,84 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,06/04/2026,"R$208,68 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferências entre contas,,06/04/2026,"-R$10.000,00",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,06/04/2026,"R$0,58 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,06/04/2026,"R$6.169,76 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,06/04/2026,"R$418,44 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,06/04/2026,"-R$150,00",,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,06/04/2026,"-R$311,40",Fábrica,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FAMAPA EMPRE,,06/04/2026,"-R$6.204,43",,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,06/04/2026,"R$10.000,00 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
BOLETO PAGO Bwu Cont,,06/04/2026,"-R$1.247,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,06/04/2026,"-R$161,25",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,06/04/2026,"-R$161,25",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FABRILAC DIS,,06/04/2026,"-R$799,00",Fábrica,Loja Ahu - Itaú - 98608-0
BOLETO PAGO Bwu Cont,,06/04/2026,"-R$380,00",,Loja Ahu - Itaú - 98608-0
BUSINESS 4005-3261,,06/04/2026,"-R$146,35",,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,06/04/2026,"-R$359,78",Loja,Compras - Inter - 23631657-5
Vendas cartão,,07/04/2026,"R$289,80 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,07/04/2026,"R$112,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferências entre contas,,07/04/2026,"-R$14.961,96",Transf. Entre Contas,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,07/04/2026,"R$0,42 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,07/04/2026,"R$514,65 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,07/04/2026,"R$98,60 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,A Casa do Confeiteiro,07/04/2026,"-R$69,95",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Distribuidora Povão,07/04/2026,"-R$50,16",Loja,Loja Ahu - Itaú - 98608-0
Insumos,Sete Embalagens,07/04/2026,"-R$13,80",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,07/04/2026,"-R$355,00",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,07/04/2026,"-R$129,20",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Pop House,07/04/2026,"-R$71,80",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,07/04/2026,"-R$187,05",Fábrica,Loja Ahu - Itaú - 98608-0
Transferências entre contas,,07/04/2026,"-R$2.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO STHEFANI ALVES DE FRANCA,,07/04/2026,"-R$1.690,84",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO CASSIA FERNANDA ALMEIDA DO CARMO,,07/04/2026,"-R$1.511,40",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ENDRYW GABRIEL LINO DE SOUZA,,07/04/2026,"-R$1.509,73",,Loja Ahu - Itaú - 98608-0
Matéria prima,Jullye,07/04/2026,"-R$12,06",Loja,Caixa Dinheiro
Transferências entre contas,,07/04/2026,"R$14.961,96 ",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO LIDIANE DA SILVA DE ALCANTARA,,07/04/2026,"-R$868,38",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO LIDIANE DA SILVA DE ALCANTARA,,07/04/2026,"-R$868,38",,Loja Ahu - Itaú - 98608-0
Pix enviadoCasaecom Comercio EletronicoSem categoria,,07/04/2026,"-R$27,38",,Compras - Inter - 23631657-5
Matéria prima,Condor,07/04/2026,"-R$70,75",Fábrica,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,07/04/2026,"-R$29,24",,Compras - Inter - 23631657-5
Taxa Limpeza,,07/04/2026,"-R$180,00",Limpeza,Compras - Inter - 23631657-5
Transferência entre contas,,07/04/2026,"R$2.000,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Vendas cartão,,08/04/2026,"R$592,44 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,08/04/2026,"R$95,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,08/04/2026,"R$488,90 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,08/04/2026,"R$170,70 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Sendas,08/04/2026,"-R$282,25",Fábrica,Loja Ahu - Itaú - 98608-0
PIX ENVIADO M.T.M. - ADMINISTRACAO DE BENS E,,08/04/2026,"-R$3.176,00",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO AMANDA DA COSTA CORTE,,08/04/2026,"-R$72,00",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,08/04/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,08/04/2026,"R$36,42 ",Vendas Loja - Delivery,Compras - Inter - 23631657-5
Vendas cartão,,09/04/2026,"R$340,79 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,09/04/2026,"R$136,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,09/04/2026,"R$429,20 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,09/04/2026,"R$86,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,Super Brilho,09/04/2026,"-R$291,66",Loja,Loja Ahu - Itaú - 98608-0
Vendas food service,Coin,09/04/2026,"R$52,14 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas food service,Uva,09/04/2026,"R$24,68 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,10/04/2026,"R$637,70 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,10/04/2026,"R$19,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,10/04/2026,"R$650,77 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,10/04/2026,"R$109,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,10/04/2026,"-R$201,00",Loja,Loja Ahu - Itaú - 98608-0
PIX ENVIADO DRIELLY BENEDETTI SOUZA,,10/04/2026,"-R$2.000,00",Despesas Marketing,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,10/04/2026,"-R$115,50",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,10/04/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoZul DigitalSem categoria,,10/04/2026,"-R$60,00",,Compras - Inter - 23631657-5
Vendas cartão,,13/04/2026,"R$2.459,26 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,13/04/2026,"R$138,50 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,13/04/2026,"R$4.507,70 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,13/04/2026,"R$245,90 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,Casaecom,13/04/2026,"-R$27,98",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Cia da Verdura,13/04/2026,"-R$47,40",Fábrica,Compras - Inter - 23631657-5
Insumos,Casa varaschin,13/04/2026,"-R$27,98",Manutenção,Caixa Dinheiro
Vendas food service,Coin,13/04/2026,"R$49,10 ",Vendas Food Service,Compras - Inter - 23631657-5
Matéria prima,Jullye,13/04/2026,"-R$3,08",Loja,Caixa Dinheiro
Vendas cartão,,14/04/2026,"R$436,78 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,14/04/2026,"R$19,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,14/04/2026,"R$550,50 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,14/04/2026,"R$19,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PLUXEE BENEF,,14/04/2026,"-R$454,00",Vale Alimentação,Loja Ahu - Itaú - 98608-0
Insumos,FNS,14/04/2026,"-R$403,50",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Condor,14/04/2026,"-R$441,30",Fábrica,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,14/04/2026,"R$0,02 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Matéria prima,De Marchi,14/04/2026,"-R$624,85",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,15/04/2026,"R$549,52 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,15/04/2026,"R$115,40 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,15/04/2026,"R$566,77 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,15/04/2026,"R$143,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,15/04/2026,"-R$5.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PIX ENVIADO DANTAS TRANSPORTE,,15/04/2026,"-R$750,00",Manutenção,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRASIELLI GANZERT LOURENCO,,15/04/2026,"-R$112,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/04/2026,"-R$533,75",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/04/2026,"-R$550,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ASTORIA DIST,,15/04/2026,"-R$165,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO BANCO C6 S.A,,15/04/2026,"-R$161,21",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,copel,15/04/2026,"-R$1.183,59",Luz,Loja Ahu - Itaú - 98608-0
BOLETO PAGO COPEL-DIS,copel,15/04/2026,"-R$2.296,11",Luz,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,15/04/2026,"R$0,15 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoPix MarketplaceSem categoria,,15/04/2026,"-R$27,90",,Compras - Inter - 23631657-5
Matéria prima,Comércio de Produtos,15/04/2026,"-R$159,60",Fábrica,Compras - Inter - 23631657-5
Transferência recebidaIfood.com Agencia De Restaurantes,,15/04/2026,"R$80,90 ",,Compras - Inter - 23631657-5
Matéria prima,Pop House,15/04/2026,"-R$49,60",Fábrica,Caixa Dinheiro
Vendas cartão,,16/04/2026,"R$353,80 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,16/04/2026,"R$39,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,16/04/2026,"R$784,89 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,16/04/2026,"R$76,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Milk Creamer,16/04/2026,"-R$865,21",Compra de Sorvete,Loja Ahu - Itaú - 98608-0
Insumos,comercial Barbante,16/04/2026,"-R$84,79",Loja,Caixa Dinheiro
Compra no débitoItalo Supermercados Curitiba BraCompras,,16/04/2026,"-R$68,87",,Compras - Inter - 23631657-5
Compra no débitoRaia Drogasil Sa Curitiba BraSaúde,,16/04/2026,"-R$7,98",,Compras - Inter - 23631657-5
Vendas food service,Uva,16/04/2026,"R$24,21 ",Vendas Food Service,Compras - Inter - 23631657-5
Vendas cartão,,17/04/2026,"R$547,77 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,17/04/2026,"R$41,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,20/04/2026,"R$4.475,91 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,20/04/2026,"R$567,24 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,17/04/2026,"R$606,75 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,17/04/2026,"R$159,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,17/04/2026,"-R$104,80",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Muffato,18/04/2026,"-R$143,64",Fábrica,Caixa Dinheiro
Matéria prima,Muffato,18/04/2026,"-R$95,76",Fábrica,Caixa Dinheiro
Vendas cartão,,20/04/2026,"R$8.367,86 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,20/04/2026,"R$687,10 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Matéria prima,Pop House,20/04/2026,"-R$366,00",Fábrica,Caixa Dinheiro
Matéria prima,Jullye,20/04/2026,"-R$4,99",Loja,Caixa Dinheiro
Matéria prima,Spal,20/04/2026,"-R$144,36",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Muffato,20/04/2026,"-R$143,64",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Muffato,20/04/2026,"-R$95,76",Fábrica,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRASIELLI GANZERT LOURENCO,,20/04/2026,"-R$224,00",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/04/2026,"-R$40,95",,Loja Ahu - Itaú - 98608-0
Matéria prima,Marmikok,20/04/2026,"-R$513,70",Fábrica,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/04/2026,"-R$887,99",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,20/04/2026,"-R$1.027,01",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/04/2026,"-R$578,86",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO CLOUDFY TECN,,20/04/2026,"-R$578,86",,Loja Ahu - Itaú - 98608-0
Matéria prima,Spal,18/04/2026,"-R$185,52",Loja,Compras - Inter - 23631657-5
Matéria prima,Condor,18/04/2026,"-R$17,37",Fábrica,Compras - Inter - 23631657-5
Pix enviado devolvidoIfood Com Agencia De Restaurantes Online S ASem categoria,,18/04/2026,"R$558,39 ",,Compras - Inter - 23631657-5
Pix enviadoIfood Com Agencia De Restaurantes Online S ASem categoria,,18/04/2026,"-R$558,39",,Compras - Inter - 23631657-5
Matéria prima,Feito Chocolate,20/04/2026,"-R$313,88",Fábrica,Compras - Inter - 23631657-5
Limpeza,Tania,21/04/2026,"-R$180,00",Limpeza,Caixa Dinheiro
Vendas cartão,,22/04/2026,"R$2.087,18 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,22/04/2026,"R$345,20 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,22/04/2026,"R$5.238,14 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,22/04/2026,"R$331,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,22/04/2026,"-R$429,00",,Loja Ahu - Itaú - 98608-0
Insumos,Ilabel,22/04/2026,"-R$43,03",Loja,Loja Ahu - Itaú - 98608-0
Insumos,Comercial Barbante,22/04/2026,"-R$72,80",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,A Casa do Confeiteiro,22/04/2026,"-R$139,90",Fábrica,Loja Ahu - Itaú - 98608-0
Matéria prima,Cia da Verdura,22/04/2026,"-R$11,80",Fábrica,Loja Ahu - Itaú - 98608-0
Insumos,Lacto Minas,22/04/2026,"-R$49,77",Loja,Loja Ahu - Itaú - 98608-0
matéria prima,Lacto Minas,22/04/2026,"-R$161,82",Fábrica,Loja Ahu - Itaú - 98608-0
matéria prima,Condor,22/04/2026,"-R$147,83",Fábrica,Loja Ahu - Itaú - 98608-0
matéria prima,Condor,22/04/2026,"-R$22,14",Loja,Loja Ahu - Itaú - 98608-0
Insumo,Condor,22/04/2026,"-R$56,70",Loja,Loja Ahu - Itaú - 98608-0
Matéria prima,Sendas,22/04/2026,"-R$345,05",Fábrica,Loja Ahu - Itaú - 98608-0
BOLETO PAGO ENRIQUE BENI,Cassineli,22/04/2026,"-R$717,00",Loja,Loja Ahu - Itaú - 98608-0
Compra no débitoItalo Supermercados Curitiba BraCompras,,22/04/2026,"-R$16,11",,Compras - Inter - 23631657-5
Compra no débitoSantosandrade Curitiba BraTransporte,,22/04/2026,"-R$25,00",,Compras - Inter - 23631657-5
Compra no débitoClinimerces Curitiba BraEducação,,22/04/2026,"-R$144,50",,Compras - Inter - 23631657-5
Compra no débitoPhoenix Auto Posto Ltd Curitiba BraTransporte,,22/04/2026,"-R$277,03",,Compras - Inter - 23631657-5
Vendas food service,Uva,22/04/2026,"R$25,98 ",Vendas Food Service,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Débito - IfoodVendas,,22/04/2026,"R$43,86 ",,Compras - Inter - 23631657-5
Transferência recebidaIfood.com Agencia De Restaurantes,,22/04/2026,"R$29,45 ",,Compras - Inter - 23631657-5
Vendas cartão,,23/04/2026,"R$541,37 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,23/04/2026,"R$111,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,23/04/2026,"R$881,98 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,23/04/2026,"R$119,40 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO 50.491.721 CLEVERSON RODRIGO,,23/04/2026,"-R$18,00",,Loja Ahu - Itaú - 98608-0
Pix enviadoPix MarketplaceSem categoria,,23/04/2026,"-R$46,83",,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,23/04/2026,"-R$45,00",,Compras - Inter - 23631657-5
Vendas cartão,,24/04/2026,"R$673,33 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,24/04/2026,"R$78,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,24/04/2026,"R$733,37 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,24/04/2026,"R$92,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,24/04/2026,"-R$3.000,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,24/04/2026,"-R$30,00",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,24/04/2026,"R$0,06 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Compra no débitoJullye Frutas Ltda Curitiba BraAlimentação,,24/04/2026,"-R$49,92",,Compras - Inter - 23631657-5
Pix enviado devolvidoLojas RiachueloSem categoria,,25/04/2026,"R$154,97 ",,Compras - Inter - 23631657-5
Vendas cartão,,27/04/2026,"R$3.052,36 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,27/04/2026,"R$88,20 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,28/04/2026,"R$127,46 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,28/04/2026,"R$44,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,27/04/2026,"R$7.077,19 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,27/04/2026,"R$512,30 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FABRILAC DIS,Fabrilac,27/04/2026,"-R$799,00",Fábrica,Loja Ahu - Itaú - 98608-0
PIX ENVIADO ARIELLE KEVILLYN SANT ANNA,,27/04/2026,"-R$112,00",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO MARIA VICTORIA RIGLER ALVES,,27/04/2026,"-R$112,00",,Loja Ahu - Itaú - 98608-0
PIX ENVIADO GRASIELLI GANZERT LOURENCO,,27/04/2026,"-R$336,00",,Loja Ahu - Itaú - 98608-0
Transferência entre contas,,27/04/2026,"-R$2.500,00",Transf. Entre Contas,Loja Ahu - Itaú - 98608-0
Vendas cartão,,28/04/2026,"R$325,24 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Insumos,Marmikok,28/04/2026,"-R$520,20",Loja,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PLUXEE BENEF,,28/04/2026,"-R$1.972,00",,Loja Ahu - Itaú - 98608-0
Matéria prima,Milk Creamer,28/04/2026,"-R$838,31",Fábrica,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,28/04/2026,"-R$271,00",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,28/04/2026,"R$0,10 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Matéria prima,,27/04/2026,"-R$4,99",Loja,Caixa Dinheiro
Pix enviadoShpp Brasil Instituicao De PagSem categoria,,27/04/2026,"-R$249,29",,Compras - Inter - 23631657-5
Pix enviadoGrowth SupplementsSem categoria,,27/04/2026,"-R$100,22",,Compras - Inter - 23631657-5
Transferência entre contas,,27/04/2026,"R$2.500,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,27/04/2026,"-R$139,38",,Compras - Inter - 23631657-5
Compra no débitoVisconde Curitiba BraCompras,,28/04/2026,"-R$81,44",,Compras - Inter - 23631657-5
Matéria prima,,29/04/2026,"-R$124,50",Fábrica,Caixa Dinheiro
Vendas cartão,,29/04/2026,"R$162,78 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,29/04/2026,"R$19,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,29/04/2026,"R$128,33 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,29/04/2026,"R$23,88 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FUNDO DE URB,,29/04/2026,"-R$736,92",,Loja Ahu - Itaú - 98608-0
Matéria prima,,29/04/2026,"-R$220,00",Fábrica,Caixa Dinheiro
REND PAGO APLIC AUT APR,,29/04/2026,"R$0,01 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Transferência recebidaIfood.com Agencia De Restaurantes,,29/04/2026,"R$29,45 ",,Compras - Inter - 23631657-5
Crédito domicílio cartãoCartão De Crédito - IfoodVendas,,29/04/2026,"R$52,62 ",,Compras - Inter - 23631657-5
Matéria prima,,30/04/2026,"-R$514,51",Fábrica,Caixa Dinheiro
Vendas cartão,,30/04/2026,"R$78,66 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,30/04/2026,"R$27,45 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,30/04/2026,"R$85,20 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO HENRIQUE NOCERA,,30/04/2026,"-R$3.000,00",,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,30/04/2026,"R$0,07 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
Pix enviadoAmazoncombrSem categoria,,30/04/2026,"-R$119,65",,Compras - Inter - 23631657-5
Pix enviadoAmazoncombrSem categoria,,30/04/2026,"-R$36,97",,Compras - Inter - 23631657-5
Pix enviadoAmazoncombrSem categoria,,30/04/2026,"-R$37,13",,Compras - Inter - 23631657-5
Pix enviadoAmazoncombrSem categoria,,01/05/2026,"-R$23,90",,Compras - Inter - 23631657-5
Pix enviadoPix MarketplaceSem categoria,,01/05/2026,"-R$51,28",,Compras - Inter - 23631657-5
Matéria prima,,04/05/2026,"-R$31,16",Fábrica,Caixa Dinheiro
Vendas cartão,,04/05/2026,"R$2.054,06 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,04/05/2026,"R$121,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,04/05/2026,"R$4.341,15 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,04/05/2026,"R$355,14 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
PIX ENVIADO M.T.M. - ADMINISTRACAO DE BENS E,,04/05/2026,"-R$3.176,00",,Loja Ahu - Itaú - 98608-0
Vendas cartão,,05/05/2026,"R$257,70 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
Vendas pix,,05/05/2026,"R$68,90 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
PIX ENVIADO HENRIQUE NOCERA,,05/05/2026,"-R$2.000,00",,Loja Alto XV - Itaú - 98554-6
REND PAGO APLIC AUT APR,,05/05/2026,"R$0,20 ",Rendimentos de Aplicações,Loja Alto XV - Itaú - 98554-6
Vendas cartão,,05/05/2026,"R$304,78 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
Vendas pix,,05/05/2026,"R$191,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
REND PAGO APLIC AUT APR,,05/05/2026,"R$0,19 ",Rendimentos de Aplicações,Loja Ahu - Itaú - 98608-0
BOLETO PAGO Bwu Cont,,05/05/2026,"-R$1.247,00",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO FAMAPA EMPRE,,05/05/2026,"-R$6.204,43",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,05/05/2026,"-R$161,25",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO PROGUARD SER,,05/05/2026,"-R$161,25",,Loja Ahu - Itaú - 98608-0
BOLETO PAGO Bwu Cont,,05/05/2026,"-R$380,00",,Loja Ahu - Itaú - 98608-0
PAGAMENTOS PIX QR-CODE,,05/05/2026,"-R$407,46",,Loja Ahu - Itaú - 98608-0
BUSINESS 4005-3261,,05/05/2026,"-R$400,66",,Loja Ahu - Itaú - 98608-0
Matéria prima,Feito Chocolate,05/05/2026,"-R$388,93",Fábrica,Compras - Inter - 23631657-5
Vendas cartão,,06/05/2026,"R$505,11 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
