Álcool em Gel 70% - 5 Litros,31/01/2024,Super Brilho,"2,000","R$ 32,27"
Álcool Líquido 70% - 5 Litros,31/01/2024,Super Brilho,"3,000","R$ 29,18"
Sanduíche de Parma - 1un,31/01/2024,Cassinelli,"6,000","R$ 10,00"
Sanduíche de Carne - 1un,31/01/2024,Cassinelli,"12,000","R$ 9,50"
Sanduíche de Frango - 1un,31/01/2024,Cassinelli,"6,000","R$ 8,50"
Sanduíche de Pernil - 1un,31/01/2024,Cassinelli,"12,000","R$ 8,50"
Caixa Kraft p/ Porção Grande - c/ 25un,31/01/2024,comercial barbante,"8,000","R$ 13,75"
Copo Papel Preto Parede Simples 110ml - c/ 50un,31/01/2024,comercial barbante,"20,000","R$ 2,48"
Pote p/ Molho 60ml Galvanotek G697 - c/ 20un,31/01/2024,Pereira Atacado,"5,000","R$ 6,30"
Leite UHT Integral - 1kg,31/01/2024,Condor,"12,000","R$ 3,98"
Leite UHT Integral - 1kg,31/01/2024,Condor,"11,000","R$ 3,98"
Leite UHT Integral - 1kg,31/01/2024,Condor,"13,000","R$ 3,98"
Leite UHT Integral - 1kg,31/01/2024,Condor,"12,000","R$ 3,98"
Canudo Biodegradável - c/ 100un,31/01/2024,Lacto Minas,"3,000","R$ 4,69"
Colher Forte - c/ 50un (STRAWPLAST),31/01/2024,Lacto Minas,"4,000","R$ 9,49"
Papel Higiênico - FD - 12 Rolos/30mt,31/01/2024,Lacto Minas,"4,000","R$ 11,90"
Pázinha Curta Branca - c/ 500un,03/02/2024,Abilio,"12,000","R$ 18,90"
Pote 100ml Descartável - c/ 100un,03/02/2024,Abilio,"8,000","R$ 6,50"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,03/02/2024,Abilio,"10,000","R$ 14,80"
Pote 200ml Descartável - c/ 50un,03/02/2024,Abilio,"10,000","R$ 5,50"
Tampa p/ Pote 200ml - c/ 50un,03/02/2024,Abilio,"5,000","R$ 6,30"
Detergente Neutro - 5 Litros,03/02/2024,Abilio,"2,000","R$ 16,50"
Touca Descartável - c/ 100un,03/02/2024,Abilio,"1,000","R$ 7,90"
Leite UHT Integral - 1kg,03/02/2024,Condor,"72,000","R$ 3,49"
Leite UHT Integral - 1kg,07/02/2024,Condor,"72,000","R$ 3,98"
Grampo p/ Grampeador,08/02/2024,Comercial Barbante,"3,000","R$ 3,90"
Leite UHT Integral - 1kg,09/02/2024,Condor,"36,000","R$ 3,49"
Água Crystal - Garrafa - (500ml),13/02/2024,Condor,"10,000","R$ 2,19"
Água Crystal - Garrafa - (500ml),13/02/2024,Condor,"48,000","R$ 1,19"
Leite UHT Integral - 1kg,13/02/2024,Condor,"12,000","R$ 3,89"
Leite UHT Integral - 1kg,13/02/2024,Condor,"12,000","R$ 3,89"
Pázinha Curta Branca - c/ 500un,17/02/2024,Marmikok,"6,000","R$ 18,90"
Ki-Cascão Conny - c/ 120un,17/02/2024,Marmikok,"4,000","R$ 44,80"
Nutella Pote - 650gr,20/02/2024,casa do confeiteiro,"3,000","R$ 40,95"
Doce de Leite - 350gr,20/02/2024,Condor,"2,000","R$ 6,99"
Leite UHT Integral - 1kg,20/02/2024,Condor,"48,000","R$ 3,99"
Água Crystal - Garrafa - (500ml),20/02/2024,Spal ,"120,000","R$ 1,20"
Coca Cola Sem Açucar - Lata - (350ml),20/02/2024,Spal ,"6,000","R$ 2,05"
Água Crystal Com Gás - Garrafa - (500ml),24/02/2024,Condor,"34,000","R$ 2,49"
Água Crystal - Garrafa - (500ml),24/02/2024,Condor,"62,000","R$ 1,19"
Chá Matte Leao Guaraná Power - Copo - (300ml),01/03/2024,Spal ,"1,000","R$ 18,39"
Chá Matte Leao - Copo - (300ml),01/03/2024,Spal ,"1,000","R$ 20,65"
Suco Del Valle Maracujá - Lata - (290ml),01/03/2024,Spal ,"6,000","R$ 2,40"
Água Crystal - Garrafa - (500ml),01/03/2024,Spal ,"72,000","R$ 1,24"
Chá Matte Leao Guaraná Power Açai - Copo - (300ml),01/03/2024,Spal ,"1,000","R$ 18,39"
